first_name,second_name,id,minutes,xG,xA,xGC,total_points,xPoints,total_points_Home/Away,xPoints_Home/Away,goal_scored,assists,clean_sheets,goals_conceded,bonus,form,diff,team_against,Home/Away
Clément,Lenglet,513,380,0.09,0.08,6.93,13,14.899999999999999,23,20.38,0,0,1,6,3,2.4,0,Liverpool,Away
Kalidou,Koulibaly,520,450,0.14,0.05,5.5,16,17.11,19,18.09,0,1,1,6,2,2.2,-25,Arsenal,Away
Joel,Matip,276,450,0.8300000000000001,0.81,5.87,27,22.77,10,10.04,1,0,3,4,4,2.5,120,Fulham,Home
Joel,Matip,276,450,0.8300000000000001,0.81,5.87,27,22.77,10,10.04,1,0,3,4,4,2.5,0,Spurs,Home
Thiago,Emiliano da Silva,128,450,0.63,0.29,4.99,23,19.65,13,14.16,0,0,3,3,2,0.2,-25,Arsenal,Away
Matty,Cash,43,439,0.0,0.060000000000000005,7.72,29,18.14,10,12.57,0,2,3,5,3,0.0,-55,Man Utd,Away
Marcos,Senesi,576,421,0.33,0.11,7.970000000000001,16,14.51,19,19.810000000000002,0,0,2,5,1,1.7,-55,Leeds,Home
Levi,Colwill,559,428,0.47,0.17,6.9,19,17.57,17,15.7,0,0,2,7,3,0.8,80,Wolves,Home
Levi,Colwill,559,428,0.47,0.17,6.9,19,17.57,17,15.7,0,0,2,7,3,0.8,-50,Man Utd,Home
Angelo,Ogbonna,456,418,0.12,0.01,6.08,19,17.35,15,16.119999999999997,0,0,2,5,3,1.5,-220,Man City,Away
Angelo,Ogbonna,456,418,0.12,0.01,6.08,19,17.35,15,16.119999999999997,0,0,2,5,3,1.5,45,Crystal Palace,Away
Aymeric,Laporte,309,450,0.37,0.24000000000000002,5.6000000000000005,15,18.580000000000002,15,18.81,0,0,1,5,2,0.5,220,West Ham,Home
Manuel,Akanji,610,405,0.02,0.18,3.32,16,22.339999999999996,12,16.88,0,0,1,4,3,1.8,220,West Ham,Home
Tyrick,Mitchell,170,450,0.27,0.24999999999999997,3.67,16,18.13,16,16.150000000000002,0,0,2,4,0,3.2,-45,West Ham,Home
Raphaël,Varane,329,442,0.52,0.060000000000000005,8.02,13,15.34,16,21.729999999999997,0,0,2,10,1,1.8,55,Aston Villa,Home
Rúben,Gato Alves Dias,312,450,0.16,0.06999999999999999,3.5500000000000003,12,19.849999999999998,13,19.47,0,0,1,4,0,1.8,265,Fulham,Away
Harry,Maguire,330,450,0.1,0.01,5.1,31,14.95,11,6.9399999999999995,0,0,5,0,2,2.2,50,Brighton,Away
Joel,Ward,156,401,0.07,0.18,3.29,17,15.800000000000002,15,16.05,0,0,2,3,1,3.4,-45,West Ham,Home
Armel,Bella-Kotchap,423,450,0.26,0.24000000000000002,9.110000000000001,14,15.68,20,14.09,0,1,1,11,3,0.8,-140,Newcastle,Away
Michael,Keane,180,450,0.26,0.04,9.7,18,15.72,13,16.82,1,0,1,10,2,3.6,-35,Leicester,Away
William,Saliba,26,450,0.02,0.1,4.05,21,17.94,11,13.04,0,0,3,4,1,0.0,25,Chelsea,Home
Kyle,Walker,299,394,0.0,0.55,4.25,13,17.53,13,19.159999999999997,0,0,1,4,0,1.2,220,West Ham,Home
Rúben,Gato Alves Dias,312,450,0.16,0.06999999999999999,3.5500000000000003,12,19.849999999999998,12,18.04,0,0,1,4,0,1.8,220,West Ham,Home
Willy,Boly,474,434,0.0,0.26,5.75,24,18.299999999999997,10,9.469999999999999,0,1,2,5,5,0.0,-15,Brentford,Away
Pedro,Porro,733,436,0.53,0.4,8.83,11,15.100000000000001,15,20.47,1,0,0,13,0,2.2,0,Liverpool,Away
Kurt,Zouma,461,450,0.55,0.03,9.76,20,14.669999999999998,16,10.54,1,0,2,9,0,4.3,-220,Man City,Away
Kurt,Zouma,461,450,0.55,0.03,9.76,20,14.669999999999998,16,10.54,1,0,2,9,0,4.3,45,Crystal Palace,Away
Mads,Roerslev Rasmussen,90,373,0.18,0.2,4.71,17,14.519999999999998,16,12.920000000000002,0,0,2,2,0,1.3,15,Nott'm Forest,Home
Reece,James,146,393,0.18,1.58,3.6400000000000006,13,19.979999999999997,8,19.42,0,1,1,6,0,2.0,-25,Arsenal,Away
Lisandro,Martínez,533,427,0.18,0.04,7.9,22,14.68,11,12.16,0,0,3,6,4,3.6,50,Brighton,Away
Kristoffer,Ajer,84,433,0.0,0.09,6.08,16,16.27,15,12.15,0,0,2,6,0,0.0,15,Nott'm Forest,Home
Nayef,Aguerd,472,450,0.61,0.01,8.23,23,18.13,8,10.13,1,0,2,8,3,3.5,-220,Man City,Away
Nayef,Aguerd,472,450,0.61,0.01,8.23,23,18.13,8,10.13,1,0,2,8,3,3.5,45,Crystal Palace,Away
Mathias,Jorgensen,595,434,0.8900000000000001,0.0,6.76,21,17.34,10,10.89,0,1,2,5,3,2.2,15,Nott'm Forest,Home
Joachim,Andersen,165,405,0.16,0.060000000000000005,2.69,14,15.38,14,15.370000000000001,0,0,2,3,0,2.8,-45,West Ham,Home
Ben,Chilwell,139,369,0.36,0.99,4.49,11,21.490000000000002,11,15.219999999999999,0,0,1,6,3,2.2,-25,Arsenal,Away
Victor,Lindelöf,337,447,0.0,0.03,6.16,22,14.569999999999999,11,11.019999999999998,0,0,3,3,2,1.8,50,Brighton,Away
Craig,Dawson,459,424,0.29,0.04,6.34,23,15.100000000000001,7,13.440000000000001,0,0,3,3,2,4.6,-80,Brighton,Away
Issa,Diop,470,450,0.0,0.03,8.33,16,12.21,18,12.18,0,0,2,6,1,0.2,-120,Liverpool,Away
Timothy,Castagne,258,450,0.18,0.37,7.910000000000001,15,13.59,15,14.4,1,0,0,8,2,3.5,35,Everton,Home
Matt,Targett,367,347,0.0,0.31000000000000005,4.1,15,13.53,16,13.16,0,0,2,4,0,1.2,140,Southampton,Home
Max,Kilman,484,450,0.22999999999999998,0.07999999999999999,6.66,22,13.620000000000001,7,14.280000000000001,0,0,3,3,1,4.4,-80,Brighton,Away
Victor,Lindelöf,337,447,0.0,0.03,6.16,22,14.569999999999999,13,7.23,0,0,3,3,2,1.8,55,Aston Villa,Home
Issa,Diop,470,450,0.0,0.03,8.33,16,12.21,13,13.45,0,0,2,6,1,0.2,-265,Man City,Home
Nathaniel,Clyne,157,430,0.0,0.30000000000000004,4.709999999999999,17,12.58,15,9.91,0,0,2,3,0,0.2,-45,West Ham,Home
Rico,Henry,85,433,0.04,0.25,5.930000000000001,15,12.35,12,14.129999999999999,0,1,1,6,1,2.7,15,Nott'm Forest,Home
Rasmus,Kristensen,244,329,0.33,0.09,9.89,13,10.129999999999999,18,11.559999999999999,2,0,0,16,1,1.2,55,Bournemouth,Away
Ben,Johnson,471,405,0.03,0.13,6.54,16,16.57,6,13.700000000000001,0,0,2,5,1,0.0,45,Crystal Palace,Away
Ben,Johnson,471,405,0.03,0.13,6.54,16,16.57,6,13.700000000000001,0,0,2,5,1,0.0,-220,Man City,Away
Joe,Worrall,388,313,0.38,0.11,7.98,13,14.690000000000001,11,13.43,1,0,0,9,0,1.0,-15,Brentford,Away
Raphaël,Varane,329,442,0.52,0.060000000000000005,8.02,13,15.34,10,13.509999999999998,0,0,2,10,1,1.8,50,Brighton,Away
Lloyd,Kelly,73,420,0.05,0.05,7.220000000000001,16,14.69,11,9.91,0,0,2,7,2,3.0,-55,Leeds,Home
Hugo,Bueno López,558,277,0.0,0.22999999999999998,2.5999999999999996,13,17.29,6,14.079999999999998,0,0,1,2,1,1.8,-80,Brighton,Away
Jordan,Zemura,76,417,0.29,0.25,9.2,12,12.49,11,14.790000000000001,0,0,1,7,0,0.0,-55,Leeds,Home
Ethan,Pinnock,92,450,0.14,0.38,6.16,12,13.06,14,11.14,0,0,1,6,0,3.2,15,Nott'm Forest,Home
Kieran,Tierney,8,301,0.02,0.27,4.37,13,12.45,10,14.719999999999999,0,1,1,5,0,0.6,25,Chelsea,Home
Nélson,Cabral Semedo,482,450,0.04,0.08,6.66,23,13.479999999999999,4,9.569999999999999,0,0,3,3,3,4.6,-80,Brighton,Away
Aymeric,Laporte,309,450,0.37,0.24000000000000002,5.6000000000000005,15,18.580000000000002,8,7.549999999999999,0,0,1,5,2,0.5,265,Fulham,Away
Thilo,Kehrer,588,422,0.0,0.14,8.73,19,14.86,5,10.08,0,2,1,8,2,2.8,-220,Man City,Away
Thilo,Kehrer,588,422,0.0,0.14,8.73,19,14.86,5,10.08,0,2,1,8,2,2.8,45,Crystal Palace,Away
Conor,Coady,475,450,0.23,0.06,7.92,14,12.719999999999999,11,10.69,0,0,2,6,0,0.0,-35,Leicester,Away
Kyle,Walker,299,394,0.0,0.55,4.25,13,17.53,6,11.41,0,0,1,4,0,1.2,265,Fulham,Away
