first_name,second_name,id,minutes,xG,xA,xGC,total_points,xPoints,total_points_Home/Away,xPoints_Home/Away,goal_scored,assists,clean_sheets,goals_conceded,bonus,form,diff,team_against,Home/Away
Jadon,Sancho,340,324,0.73,0.5800000000000001,4.65,20,14.500000000000002,24,16.729999999999997,1,1,3,3,0,4.0,55,Aston Villa,Home
John,McGinn,37,450,0.34,0.56,4.119999999999999,16,16.009999999999998,26,15.68,0,1,3,2,0,4.0,-55,Man Utd,Away
Bruno,Borges Fernandes,333,450,1.42,1.5099999999999998,8.14,15,21.32,15,22.1,0,1,3,4,0,3.0,50,Brighton,Away
Jordan,Ayew,159,394,1.3000000000000003,0.7400000000000001,3.67,26,20.41,14,12.510000000000002,2,1,2,4,2,5.2,-45,West Ham,Home
Adam,Lallana,101,284,0.36,0.55,5.409999999999999,28,16.57,13,15.129999999999999,2,1,2,5,4,0.0,80,Wolves,Home
Adam,Lallana,101,284,0.36,0.55,5.409999999999999,28,16.57,13,15.129999999999999,2,1,2,5,4,0.0,-50,Man Utd,Home
Christian,Eriksen,519,381,0.7200000000000001,0.6200000000000001,5.369999999999999,15,17.02,24,16.37,0,1,2,5,1,1.2,55,Aston Villa,Home
Michael,Olise,171,450,0.42000000000000004,1.5,3.67,24,21.29,12,14.879999999999999,0,3,2,4,3,4.8,-45,West Ham,Home
Douglas Luiz,Soares de Paulo,46,450,0.54,0.19,4.119999999999999,19,16.9,21,14.57,1,0,3,2,2,4.2,-55,Man Utd,Away
Philip,Billing,70,432,0.75,0.36000000000000004,7.09,20,18.64,17,15.229999999999999,1,0,2,6,3,3.7,-55,Leeds,Home
Ilkay,Gündogan,300,431,1.0,0.44,1.6399999999999997,21,19.68,16,14.139999999999999,1,1,3,2,0,3.0,265,Fulham,Away
Luis,Díaz,293,297,0.82,0.68,3.67,13,11.19,29,17.299999999999997,0,2,1,3,0,0.5,120,Fulham,Home
Luis,Díaz,293,297,0.82,0.68,3.67,13,11.19,29,17.299999999999997,0,2,1,3,0,0.5,0,Spurs,Home
Harry,Wilson,212,282,1.27,0.04,4.14,21,16.16,18,15.059999999999999,2,0,1,2,2,3.8,-120,Liverpool,Away
Antony Matheus,dos Santos,609,365,2.0,1.04,5.220000000000001,23,25.25,9,12.51,1,1,3,1,3,4.6,55,Aston Villa,Home
Marcus,Tavernier,535,329,0.6300000000000001,0.35,6.4,17,14.37,25,13.260000000000002,1,0,1,6,3,4.0,-55,Leeds,Home
